id,ra_deg,dec_deg,magnitude
HIP5240,16.751798,56.934173,6.410
HIP5251,16.789588,53.498161,6.310
HIP5259,16.804425,-23.996568,6.360
HIP5268,16.828719,-61.775372,5.360
HIP5296,16.943643,-9.785425,5.710
HIP5300,16.949709,-41.486858,5.210
HIP5310,16.988832,20.738481,5.560
HIP5315,16.999656,1.989856,6.440
HIP5317,17.005031,43.941641,5.040
HIP5319,17.007283,32.011941,6.230
HIP5336,17.105978,54.908568,5.170
HIP5346,17.090663,5.648601,5.510
HIP5348,17.096403,-55.245541,3.940
HIP5361,17.139645,58.263358,5.770
HIP5364,17.149074,-10.183282,3.460
HIP5372,17.193254,86.257006,4.240
HIP5412,17.299836,80.011285,6.240
HIP5434,17.375561,47.241696,4.260
HIP5447,17.434500,35.619732,2.070
HIP5454,17.454969,19.658477,5.570
HIP5477,17.530686,-57.695264,6.410
HIP5483,17.547831,15.673732,6.070
HIP5485,17.549629,-8.906424,6.400
HIP5493,17.576854,42.081167,5.670
HIP5494,17.581074,25.456926,5.810
HIP5510,17.639741,2.445553,5.970
HIP5518,17.664402,68.778419,5.320
HIP5542,17.778174,55.149759,4.340
HIP5544,17.778120,31.424648,5.150
HIP5550,17.792690,37.724070,5.800
HIP5566,17.857112,64.202535,5.560
HIP5571,17.863739,21.034572,4.660
HIP5575,17.870797,10.291863,6.490
HIP5586,17.915762,30.089361,4.510
HIP5589,17.922851,65.018759,5.570
HIP5594,17.930859,-2.251242,5.930
HIP5626,18.072950,79.673927,5.600
HIP5650,18.142227,45.337685,6.130
HIP5661,18.190070,-37.856705,5.950
HIP5679,18.247986,30.063991,6.240
HIP5688,18.291423,61.706141,6.400
HIP5737,18.433907,7.574945,5.210
HIP5742,18.437430,24.583557,4.670
HIP5743,18.439747,7.577914,6.440
HIP5772,18.520953,28.529179,6.330
HIP5778,18.531561,16.133286,5.970
HIP5799,18.601084,-7.920783,5.140
HIP5824,18.676534,6.994954,6.040
HIP5833,18.704773,-0.972283,5.700
HIP5862,18.802627,-45.530353,4.970
HIP5896,18.948957,-68.874989,4.250
HIP5926,19.049543,71.743833,5.870
HIP5928,19.060029,87.145347,6.200
HIP5936,19.079076,33.114456,6.040
HIP5947,19.127187,79.910447,6.270
HIP5951,19.150464,-2.500839,5.420
HIP5992,19.266435,-66.397743,6.230
HIP5993,19.271207,44.901695,6.110
HIP6025,19.350108,31.744641,6.360
HIP6061,19.449453,3.614301,5.130
HIP6087,19.542354,47.419675,6.290
HIP6093,19.557764,57.803157,6.390
HIP6140,19.695790,37.386192,6.440
HIP6193,19.866862,27.263973,4.740
HIP6226,19.951269,-0.509131,5.870
HIP6242,20.020467,58.231595,4.950
HIP6261,20.080364,77.571341,6.310
HIP6272,20.115491,-11.239558,6.160
HIP6283,20.144041,-3.246958,6.260
HIP6312,20.272776,64.657958,6.330
HIP6315,20.280945,28.737654,5.230
HIP6378,20.497845,76.238551,6.370
HIP6411,20.585393,45.528842,4.870
HIP6427,20.626555,-19.081686,6.350
HIP6429,20.645303,-0.449761,6.500
