loc,iso_utc,route,az_kotlin,alt_kotlin,az_oracle_geometric,alt_oracle_geometric,az_oracle_refr_appweather,alt_oracle_refr_appweather
CapeTown,2026-03-20T12:00:00,moon,359.50817783,44.88366852,359.50579574,44.86613856,359.50579574,44.88204896
CapeTown,2026-03-20T12:00:00,planet_mercury,299.59606084,47.00733314,299.59064710,46.99404965,299.59064710,47.00882317
CapeTown,2026-03-20T12:00:00,planet_venus,359.94748700,50.04677205,359.93957507,50.03012864,359.93957507,50.04340841
CapeTown,2026-03-20T12:00:00,planet_mars,306.27643080,51.11746131,306.26984062,51.10194151,306.26984062,51.11472535
CapeTown,2026-03-20T12:00:00,planet_jupiter,70.71880726,-12.64533700,70.71373006,-12.64689473,70.71373006,-12.47652037
CapeTown,2026-03-20T12:00:00,planet_saturn,339.26563501,54.61027764,339.25893007,54.60133976,339.25893007,54.61260148
CapeTown,2026-03-20T12:00:00,planet_uranus,41.33170305,24.52928350,41.32580446,24.49135252,41.32580446,24.52592864
CapeTown,2026-03-20T12:00:00,planet_neptune,335.15241132,53.98663750,335.14615579,53.97427809,335.14615579,53.98580251
CapeTown,2026-03-20T12:00:00,moon_geocentric,359.50821551,45.58218166,359.50579574,44.86613856,359.50579574,44.88204896
Honolulu,2026-03-20T12:00:00,sun,45.54024194,-60.94562178,45.54099849,-60.94664445,45.54099849,-60.92200924
Honolulu,2026-03-20T12:00:00,moon,7.55371532,-58.45280683,7.55698295,-58.45201806,7.55698295,-58.42053375
Honolulu,2026-03-20T12:00:00,planet_mercury,76.50789173,-48.57147021,76.51552160,-48.57688871,76.51552160,-48.51233200
Honolulu,2026-03-20T12:00:00,planet_venus,8.08028984,-62.40593699,8.09101625,-62.40424864,8.09101625,-62.38325991
Honolulu,2026-03-20T12:00:00,planet_mars,72.20359244,-53.93834617,72.20936261,-53.93603027,72.20936261,-53.89041749
Honolulu,2026-03-20T12:00:00,planet_jupiter,292.67095603,5.18154556,292.67610371,5.02279991,292.67610371,5.17382023
Honolulu,2026-03-20T12:00:00,planet_saturn,37.85571472,-64.08878313,37.86658177,-64.09049692,37.86658177,-64.07338145
Honolulu,2026-03-20T12:00:00,planet_uranus,316.86472499,-36.06946134,316.87170026,-36.06866537,316.87170026,-35.95737216
Honolulu,2026-03-20T12:00:00,planet_neptune,42.51767132,-62.74546901,42.52539679,-62.74404267,42.52539679,-62.72386464
Honolulu,2026-03-20T12:00:00,moon_geocentric,7.55427128,-57.93688611,7.55698295,-58.45201806,7.55698295,-58.42053375
Quito,2026-03-20T12:00:00,sun,90.04604068,9.73267874,90.04616637,9.63869204,90.04616637,9.70613748
Quito,2026-03-20T12:00:00,moon,79.42924649,-7.44157888,79.42860981,-7.44001157,79.42860981,-7.30451837
Quito,2026-03-20T12:00:00,planet_mercury,98.50409646,29.56916351,98.51074523,29.53556624,98.51074523,29.55662964
Quito,2026-03-20T12:00:00,planet_venus,83.91929371,-6.84770578,83.91764283,-6.84402592,83.91764283,-6.70816087
Quito,2026-03-20T12:00:00,planet_mars,97.91126671,23.59881294,97.91338534,23.56400380,97.91338534,23.59129105
Quito,2026-03-20T12:00:00,planet_jupiter,343.85673895,-66.07656227,343.86451636,-66.07271812,343.86451636,-66.06265563
Quito,2026-03-20T12:00:00,planet_saturn,90.31345863,5.07611738,90.31751274,4.91776756,90.31751274,5.03459873
Quito,2026-03-20T12:00:00,planet_uranus,62.61291540,-43.15769630,62.60880970,-43.15296161,62.60880970,-43.08774249
Quito,2026-03-20T12:00:00,planet_neptune,90.49743141,7.50483206,90.49853581,7.39221749,90.49853581,7.47771543
Quito,2026-03-20T12:00:00,moon_geocentric,79.42924649,-6.45929692,79.42860981,-7.44001157,79.42860981,-7.30451837
Sydney,2026-03-20T12:00:00,sun,226.71654165,-45.55090868,226.71600274,-45.55274725,226.71600274,-45.47711837
Sydney,2026-03-20T12:00:00,moon,252.70478445,-42.02089968,252.70411145,-42.02289191,252.70411145,-41.93392409
Sydney,2026-03-20T12:00:00,planet_mercury,195.49987458,-47.55895836,195.49898247,-47.55546104,195.49898247,-47.48733023
Sydney,2026-03-20T12:00:00,planet_venus,248.35777504,-38.30747316,248.35528457,-38.31378996,248.35528457,-38.21097851
Sydney,2026-03-20T12:00:00,planet_mars,203.96876032,-45.99876984,203.96229169,-45.99928153,203.96229169,-45.92533274
Sydney,2026-03-20T12:00:00,planet_jupiter,318.30160708,20.23346154,318.30328836,20.18355112,318.30328836,20.22618136
Sydney,2026-03-20T12:00:00,planet_saturn,231.59401812,-42.37403029,231.58742373,-42.37305727,231.58742373,-42.28541164
Sydney,2026-03-20T12:00:00,planet_uranus,284.87173920,-13.29554114,284.87378423,-13.30097577,284.87378423,-13.13172625
Sydney,2026-03-20T12:00:00,planet_neptune,228.82710609,-43.81307903,228.82220817,-43.81456615,228.82220817,-43.73237216
Sydney,2026-03-20T12:00:00,moon_geocentric,252.70868580,-41.28667935,252.70411145,-42.02289191,252.70411145,-41.93392409
Tehran,2026-03-20T12:00:00,sun,243.50037226,31.80800177,243.50048606,31.77888813,243.50048606,31.80164013
Tehran,2026-03-20T12:00:00,moon,238.48125335,50.06106615,238.48391503,50.04782164,238.48391503,50.05965975
Tehran,2026-03-20T12:00:00,planet_mercury,251.83411101,11.86729529,251.82891289,11.78454699,251.82891289,11.85025529
Tehran,2026-03-20T12:00:00,planet_venus,233.47912256,47.63651617,233.48650654,47.61825857,233.48650654,47.63115233
Tehran,2026-03-20T12:00:00,planet_mars,247.99115556,16.55250445,247.99253008,16.49238542,247.99253008,16.53942370
Tehran,2026-03-20T12:00:00,planet_jupiter,88.16124815,39.29993450,88.15681243,39.28294684,88.15681243,39.30020455
Tehran,2026-03-20T12:00:00,planet_saturn,239.30398489,34.98780739,239.30302673,34.95900248,239.30302673,34.97917871
Tehran,2026-03-20T12:00:00,planet_uranus,158.17905634,72.88282038,158.18518290,72.88297428,158.18518290,72.88733008
Tehran,2026-03-20T12:00:00,planet_neptune,241.26579806,33.11621654,241.26783707,33.08740693,241.26783707,33.10904678
Tehran,2026-03-20T12:00:00,moon_geocentric,238.47702303,50.69624294,238.48391503,50.04782164,238.48391503,50.05965975
Tromso,2026-03-20T12:00:00,sun,198.16131914,19.41471148,198.16160089,19.36567486,198.16160089,19.41034453
Tromso,2026-03-20T12:00:00,moon,181.01954714,30.02485866,181.02155039,29.99669928,181.02155039,30.02409409
Tromso,2026-03-20T12:00:00,planet_mercury,217.43090679,8.94662642,217.42882238,8.83831828,217.42882238,8.93468014
Tromso,2026-03-20T12:00:00,planet_venus,180.63711350,26.41936073,180.64284386,26.38639666,180.64284386,26.41822538
Tromso,2026-03-20T12:00:00,planet_mars,211.49623330,10.26612085,211.49995993,10.17522095,211.49995993,10.25991702
Tromso,2026-03-20T12:00:00,planet_jupiter,82.02637665,21.60974934,82.02614039,21.57279162,82.02614039,21.61259743
Tromso,2026-03-20T12:00:00,planet_saturn,193.14486502,19.59182245,193.14755560,19.54121562,193.14755560,19.58546138
Tromso,2026-03-20T12:00:00,planet_uranus,133.74851071,34.69308450,133.75112023,34.67419559,133.75112023,34.69708589
Tromso,2026-03-20T12:00:00,planet_neptune,195.74019554,19.19794625,195.74383894,19.14932054,195.74383894,19.19452254
Tromso,2026-03-20T12:00:00,moon_geocentric,181.01950221,30.87787352,181.02155039,29.99669928,181.02155039,30.02409409
CapeTown,2000-01-01T12:00:00,sun,300.66608897,71.13228154,300.66731556,71.12374883,300.66731556,71.12917032
CapeTown,2000-01-01T12:00:00,moon,268.30156775,16.44996329,268.30113293,16.39357971,268.30113293,16.44661145
CapeTown,2000-01-01T12:00:00,planet_mercury,285.08892909,64.85261214,285.07949312,64.83337313,285.07949312,64.84082217
CapeTown,2000-01-01T12:00:00,planet_venus,270.72472346,35.63725449,270.72227538,35.60265945,270.72227538,35.62474758
CapeTown,2000-01-01T12:00:00,planet_mars,61.84055397,54.59901308,61.83288809,54.59390126,61.83288809,54.60516608
CapeTown,2000-01-01T12:00:00,planet_jupiter,80.08444654,-0.09447195,80.08061165,-0.66751441,80.08061165,-0.48807013
CapeTown,2000-01-01T12:00:00,planet_saturn,84.78876854,-15.12796720,84.79520222,-15.13426003,84.79520222,-14.96751819
CapeTown,2000-01-01T12:00:00,planet_uranus,49.23891670,66.25391578,49.22228513,66.25531415,49.22228513,66.26228857
CapeTown,2000-01-01T12:00:00,planet_neptune,23.31032516,74.16954205,23.27414345,74.16934164,23.27414345,74.17383792
CapeTown,2000-01-01T12:00:00,moon_geocentric,268.30451786,17.31761102,268.30113293,16.39357971,268.30113293,16.44661145
Honolulu,2000-01-01T12:00:00,sun,98.99667341,-70.20013672,98.99178934,-70.19952151,98.99178934,-70.19320097
Honolulu,2000-01-01T12:00:00,moon,96.78247711,-13.90190021,96.78257693,-13.90042854,96.78257693,-13.73149815
Honolulu,2000-01-01T12:00:00,planet_mercury,102.21561003,-61.77106136,102.21220282,-61.76043404,102.21220282,-61.73786816
Honolulu,2000-01-01T12:00:00,planet_venus,99.21423809,-31.35949200,99.21355797,-31.35138320,99.21355797,-31.22396561
Honolulu,2000-01-01T12:00:00,planet_mars,282.39299580,-62.16655075,282.39638571,-62.17587198,282.39638571,-62.15432992
Honolulu,2000-01-01T12:00:00,planet_jupiter,281.21424768,-4.90175003,281.21586867,-4.91345801,281.21586867,-4.73537637
Honolulu,2000-01-01T12:00:00,planet_saturn,279.67341124,10.28676224,279.66858553,10.20647380,279.66858553,10.29096796
Honolulu,2000-01-01T12:00:00,planet_uranus,284.41920585,-75.30653620,284.42525339,-75.31764587,284.42525339,-75.31651816
Honolulu,2000-01-01T12:00:00,planet_neptune,307.65524904,-86.60490752,307.76050399,-86.61400403,307.76050399,-86.61478771
Honolulu,2000-01-01T12:00:00,moon_geocentric,96.78457579,-13.02068907,96.78257693,-13.90042854,96.78257693,-13.73149815
Quito,2000-01-01T12:00:00,sun,113.39665786,9.90875401,113.39509245,9.81746209,113.39509245,9.88376540
Quito,2000-01-01T12:00:00,moon,118.81232273,66.54057959,118.81293356,66.53647835,118.81293356,66.54167833
Quito,2000-01-01T12:00:00,planet_mercury,115.77114410,18.07918105,115.77123999,18.03883511,115.77123999,18.07518058
Quito,2000-01-01T12:00:00,planet_venus,118.48574267,48.43790985,118.48688762,48.43154193,118.48688762,48.44215819
Quito,2000-01-01T12:00:00,planet_mars,106.67401248,-37.37431041,106.67403619,-37.36653491,106.67403619,-37.28474902
Quito,2000-01-01T12:00:00,planet_jupiter,347.54726856,-81.19529404,347.61363678,-81.20049671,347.61363678,-81.20136996
Quito,2000-01-01T12:00:00,planet_saturn,307.73949505,-69.09279358,307.72120666,-69.08733525,307.72120666,-69.08123740
Quito,2000-01-01T12:00:00,planet_uranus,108.73697667,-24.33431708,108.73770061,-24.32330546,108.73770061,-24.20981285
Quito,2000-01-01T12:00:00,planet_neptune,109.71567791,-12.72185128,109.71560984,-12.71097367,109.71560984,-12.57992695
Quito,2000-01-01T12:00:00,moon_geocentric,118.81232273,66.90399436,118.81293356,66.53647835,118.81293356,66.54167833
Sydney,2000-01-01T12:00:00,sun,210.53860887,-26.50320111,210.53796567,-26.50751483,210.53796567,-26.36590044
Sydney,2000-01-01T12:00:00,moon,142.94290190,-38.02975422,142.94112533,-38.02931019,142.94112533,-37.92545551
Sydney,2000-01-01T12:00:00,planet_mercury,201.20359829,-28.56207761,201.19187871,-28.56883424,201.19187871,-28.43316753
Sydney,2000-01-01T12:00:00,planet_venus,166.07856456,-36.48953803,166.06619653,-36.49216272,166.06619653,-36.38273574
Sydney,2000-01-01T12:00:00,planet_mars,252.88404100,-1.67022047,252.87770042,-1.67763551,252.87770042,-1.49868931
Sydney,2000-01-01T12:00:00,planet_jupiter,304.01248680,27.94873015,304.00144707,27.91146549,304.00144707,27.94120958
Sydney,2000-01-01T12:00:00,planet_saturn,320.27828956,33.98174108,320.28553484,33.96317949,320.28553484,33.98661668
Sydney,2000-01-01T12:00:00,planet_uranus,242.12707974,-9.33046651,242.11825197,-9.33752606,242.11825197,-9.16352406
Sydney,2000-01-01T12:00:00,planet_neptune,232.51468277,-16.25671812,232.50589903,-16.26382803,232.50589903,-16.09917284
Sydney,2000-01-01T12:00:00,moon_geocentric,142.94076817,-37.31655229,142.94112533,-38.02931019,142.94112533,-37.92545551
Tehran,2000-01-01T12:00:00,sun,227.17470233,14.33172720,227.17684083,14.26622786,227.17684083,14.32069625
Tehran,2000-01-01T12:00:00,moon,272.26885976,-22.87049713,272.27001344,-22.87137571,272.27001344,-22.73558123
Tehran,2000-01-01T12:00:00,planet_mercury,232.51437833,7.65491717,232.52356408,7.53216175,232.52356408,7.63113952
Tehran,2000-01-01T12:00:00,planet_venus,255.89189610,-12.16977413,255.89980301,-12.17808352,255.89980301,-12.02454818
Tehran,2000-01-01T12:00:00,planet_mars,181.70859985,41.13272669,181.71989407,41.11085745,181.71989407,41.12703755
Tehran,2000-01-01T12:00:00,planet_jupiter,106.68202215,35.56941741,106.69299049,35.55259449,106.69299049,35.57233446
Tehran,2000-01-01T12:00:00,planet_saturn,92.91983181,26.01914348,92.91650824,25.97684650,92.91650824,26.00571210
Tehran,2000-01-01T12:00:00,planet_uranus,196.95343167,35.58572363,196.96563213,35.55757430,196.96563213,35.57731066
Tehran,2000-01-01T12:00:00,planet_neptune,208.90003071,29.69636673,208.91097780,29.66196314,208.91097780,29.68669669
Tehran,2000-01-01T12:00:00,moon_geocentric,272.26575117,-22.03459154,272.27001344,-22.87137571,272.27001344,-22.73558123
Tromso,2000-01-01T12:00:00,sun,196.68211494,-3.59663363,196.68366132,-3.59765356,196.68366132,-3.41895541
