loc,lat_deg,lon_deg,height_m,iso_utc,jd_utc,obj_id,obj_type,ra_in_deg,dec_in_deg,mag,gmst_deg_oracle,gmst_deg_kotlin,gast_deg_oracle,gast_deg_kotlin,az_oracle_geometric,alt_oracle_geometric,az_oracle_refr1010,alt_oracle_refr1010,az_oracle_refr_appweather,alt_oracle_refr_appweather,az_kotlin_star_live,alt_kotlin_star_live,az_kotlin_star_live_elev,alt_kotlin_star_live_elev,az_kotlin_fte,alt_kotlin_fte
CapeTown,-33.93,18.42,25.0,2026-09-04T20:00:00,2461288.333333334,star_psa_fomalhaut,STAR,344.413000,-29.622000,1.17,283.951472328,283.951484917,283.953807952,283.953820514,94.82026842,53.89607386,94.82026842,53.90781590,94.82026842,53.90763132,94.81968149,53.91710711,94.81968149,53.91707800,94.82079424,53.91386297
CapeTown,-33.93,18.42,25.0,2026-09-04T20:00:00,2461288.333333334,star_eri_achernar,STAR,24.429000,-57.237000,0.45,283.951472328,283.951484917,283.953807952,283.953820514,140.62799700,31.93281160,140.62799700,31.95857070,140.62799700,31.95816478,140.63315361,31.96724210,140.63315361,31.96717834,140.63179040,31.96414707
CapeTown,-33.93,18.42,25.0,2026-09-04T20:00:00,2461288.333333334,dso_m31_andromeda,GALAXY,10.684000,41.269000,3.44,283.951472328,283.951484917,283.953807952,283.953820514,44.90048914,-8.22464808,44.90048914,-8.04401730,44.90048914,-8.04934943,44.89846149,-8.21993377,44.89846149,-8.21993377,44.89758673,-8.22114088
CapeTown,-33.93,18.42,25.0,2026-09-04T20:00:00,2461288.333333334,dso_lmc,GALAXY,80.894000,-69.756000,0.9,283.951472328,283.951484917,283.953807952,283.953820514,166.02109184,17.96104953,166.02109184,18.01009595,166.02109184,18.00931647,166.02664998,18.01759175,166.02664998,18.01747105,166.02536679,18.01558459
CapeTown,-33.93,18.42,25.0,2026-09-04T20:00:00,2461288.333333334,dso_smc,GALAXY,13.187000,-72.829000,2.7,283.951472328,283.951484917,283.953807952,283.953820514,159.11847135,37.80750118,159.11847135,37.82821886,159.11847135,37.82789274,159.12569692,37.83539785,159.12569692,37.83534652,159.12341688,37.83294025
CapeTown,-33.93,18.42,25.0,2026-09-04T20:00:00,2461288.333333334,dso_m33_triangulum,GALAXY,23.462000,30.660000,5.72,283.951472328,283.951484917,283.953807952,283.953820514,59.72317331,-10.37532872,59.72317331,-10.19698008,59.72317331,-10.20218491,59.72201869,-10.37007955,59.72201869,-10.37007955,59.72109766,-10.37205681
CapeTown,-33.93,18.42,25.0,2026-09-04T20:00:00,2461288.333333334,dso_m45_pleiades,STAR_CLUSTER,56.871000,24.105000,1.6,283.951472328,283.951484917,283.953807952,283.953820514,81.36876099,-33.18593723,81.36876099,-33.06196211,81.36876099,-33.06482046,81.36966594,-33.18196174,81.36966594,-33.18196174,81.36805234,-33.18481511
CapeTown,-33.93,18.42,25.0,2026-09-04T20:00:00,2461288.333333334,dso_hyades,STAR_CLUSTER,66.750000,15.870000,0.5,283.951472328,283.951484917,283.953807952,283.953820514,95.65806858,-37.45192616,95.65806858,-37.34345708,95.65806858,-37.34582109,95.65983502,-37.44802174,95.65983502,-37.44802174,95.65859941,-37.45123840
CapeTown,-33.93,18.42,25.0,2026-09-04T20:00:00,2461288.333333334,dso_m44_beehive,STAR_CLUSTER,130.100000,19.670000,3.7,283.951472328,283.951484917,283.953807952,283.953820514,208.70307969,-73.93973751,208.70307969,-73.93750852,208.70307969,-73.93754156,208.70480760,-73.93707188,208.70480760,-73.93707188,208.71612287,-73.93679561
CapeTown,-33.93,18.42,25.0,2026-09-04T20:00:00,2461288.333333334,dso_double_cluster,STAR_CLUSTER,34.740000,57.130000,3.7,283.951472328,283.951484917,283.953807952,283.953820514,38.35195371,-29.45533330,38.35195371,-29.31886613,38.35195371,-29.32216702,38.35058606,-29.45228603,38.35058606,-29.45228603,38.34831430,-29.45312406
CapeTown,-33.93,18.42,25.0,2026-09-04T20:00:00,2461288.333333334,dso_coma_cluster,STAR_CLUSTER,185.600000,26.100000,1.8,283.951472328,283.951484917,283.953807952,283.953820514,279.84022190,-35.20347404,279.84022190,-35.08669521,279.84022190,-35.08931723,279.83932832,-35.20125013,279.83932832,-35.20125013,279.83949748,-35.19796414
CapeTown,-33.93,18.42,25.0,2026-09-04T20:00:00,2461288.333333334,dso_omega_centauri,GLOBULAR_CLUSTER,201.700000,-47.470000,3.9,283.951472328,283.951484917,283.953807952,283.953820514,224.29181247,18.20792947,224.29181247,18.25628336,224.29181247,18.25551515,224.29652081,18.25925332,224.29652081,18.25913426,224.29505753,18.26048961
CapeTown,-33.93,18.42,25.0,2026-09-04T20:00:00,2461288.333333334,dso_47_tucanae,GLOBULAR_CLUSTER,6.020000,-72.080000,4.1,283.951472328,283.951484917,283.953807952,283.953820514,158.64257926,40.06245032,158.64257926,40.08157157,158.64257926,40.08127068,158.65008589,40.08869147,158.65008589,40.08864408,158.64766641,40.08621599
CapeTown,-33.93,18.42,25.0,2026-09-04T20:00:00,2461288.333333334,dso_m13_hercules,GLOBULAR_CLUSTER,250.420000,36.460000,5.8,283.951472328,283.951484917,283.953807952,283.953820514,320.66689933,4.72576287,320.66689933,4.88540848,320.66689933,4.88236202,320.66411454,4.89213795,320.66411454,4.89174050,320.66382299,4.90156021
CapeTown,-33.93,18.42,25.0,2026-09-04T20:00:00,2461288.333333334,dso_m42_orion_nebula,NEBULA,83.822000,-5.391000,4.0,283.951472328,283.951484917,283.953807952,283.953820514,129.85518896,-36.63628834,129.85518896,-36.52477393,129.85518896,-36.52723074,129.85821883,-36.63171621,129.85821883,-36.63171621,129.85848885,-36.63497726
